car_id,car_type,car_model
1,Sedan,Model A
2,SUV,Model B
3,Truck,Model C
4,Hatchback,Model D
5,Minivan,Model E
6,Sedan,Model F
7,SUV,Model G
8,Truck,Model H
9,Hatchback,Model I
10,Minivan,Model J
11,Sedan,Model K
12,SUV,Model L
13,Truck,Model M
14,Hatchback,Model N
15,Minivan,Model O
16,Sedan,Model P
17,SUV,Model Q
18,Truck,Model R
19,Hatchback,Model S
20,Minivan,Model T
21,Sedan,Model U
22,SUV,Model V
23,Truck,Model W
24,Hatchback,Model X
25,Minivan,Model Y
26,Sedan,Model Z
27,SUV,Model A
28,Truck,Model B
29,Hatchback,Model C
30,Minivan,Model D
31,Sedan,Model E
32,SUV,Model F
33,Truck,Model G
34,Hatchback,Model H
35,Minivan,Model I
36,Sedan,Model J
37,SUV,Model K
38,Truck,Model L
39,Hatchback,Model M
40,Minivan,Model N
41,Sedan,Model O
42,SUV,Model P
43,Truck,Model Q
44,Hatchback,Model R
45,Minivan,Model S
46,Sedan,Model T
47,SUV,Model U
48,Truck,Model V
49,Hatchback,Model W
50,Minivan,Model X
51,Sedan,Model Y
52,SUV,Model Z
53,Truck,Model A
54,Hatchback,Model B
55,Minivan,Model C
56,Sedan,Model D
57,SUV,Model E
58,Truck,Model F
59,Hatchback,Model G
60,Minivan,Model H
61,Sedan,Model I
62,SUV,Model J
63,Truck,Model K
64,Hatchback,Model L
65,Minivan,Model M
66,Sedan,Model N
67,SUV,Model O
68,Truck,Model P
69,Hatchback,Model Q
70,Minivan,Model R
71,Sedan,Model S
72,SUV,Model T
73,Truck,Model U
74,Hatchback,Model V
75,Minivan,Model W
76,Sedan,Model X
77,SUV,Model Y
78,Truck,Model Z
79,Hatchback,Model A
80,Minivan,Model B
81,Sedan,Model C
82,SUV,Model D
83,Truck,Model E
84,Hatchback,Model F
85,Minivan,Model G
86,Sedan,Model H
87,SUV,Model I
88,Truck,Model J
89,Hatchback,Model K
90,Minivan,Model L
91,Sedan,Model M
92,SUV,Model N
93,Truck,Model O
94,Hatchback,Model P
95,Minivan,Model Q
96,Sedan,Model R
97,SUV,Model S
98,Truck,Model T
99,Hatchback,Model U
100,Minivan,Model V
